runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
num_rel_ret           	440244174	1	0	1	1	1	1
recip_rank            	440244174	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244174	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244174	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244174	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244176	5	5	5	5	5	5
num_rel               	440244176	1	1	1	1	1	1
num_rel_ret           	440244176	1	0	1	1	1	1
recip_rank            	440244176	1.0000	0.0000	0.3333	1.0000	0.5000	1.0000
set_P                 	440244176	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244176	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244176	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244199	5	5	5	5	5	5
num_rel               	440244199	1	1	1	1	1	1
num_rel_ret           	440244199	1	1	1	1	1	1
recip_rank            	440244199	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	440244199	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244199	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244199	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244201	5	5	5	5	5	5
num_rel               	440244201	1	1	1	1	1	1
num_rel_ret           	440244201	1	0	1	1	1	1
recip_rank            	440244201	1.0000	0.0000	0.5000	1.0000	0.5000	1.0000
set_P                 	440244201	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244201	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244201	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244203	5	5	5	5	5	5
num_rel               	440244203	1	1	1	1	1	1
num_rel_ret           	440244203	1	1	1	1	1	1
recip_rank            	440244203	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244203	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244203	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244203	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	440244205	5	5	5	5	5	5
num_rel               	440244205	1	1	1	1	1	1
num_rel_ret           	440244205	1	0	1	1	1	1
recip_rank            	440244205	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244205	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244205	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244205	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	440244230	5	5	5	5	5	5
num_rel               	440244230	1	1	1	1	1	1
num_rel_ret           	440244230	1	0	1	1	1	1
recip_rank            	440244230	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	440244230	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	440244230	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	440244230	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	485072553	5	5	5	5	5	5
num_rel               	485072553	1	1	1	1	1	1
num_rel_ret           	485072553	0	0	0	0	0	0
recip_rank            	485072553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	485072553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	485072553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	485072553	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	527735706	5	5	5	5	5	5
num_rel               	527735706	1	1	1	1	1	1
num_rel_ret           	527735706	1	0	1	1	1	1
recip_rank            	527735706	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	527735706	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	527735706	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	527735706	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	527735713	5	5	5	5	5	5
num_rel               	527735713	1	1	1	1	1	1
num_rel_ret           	527735713	1	0	1	1	1	1
recip_rank            	527735713	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	527735713	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	527735713	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	527735713	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	527735771	5	5	5	5	5	5
num_rel               	527735771	1	1	1	1	1	1
num_rel_ret           	527735771	1	0	1	1	1	1
recip_rank            	527735771	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000
set_P                 	527735771	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	527735771	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	527735771	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	527735807	2	5	2	2	5	2
num_rel               	527735807	1	1	1	1	1	1
num_rel_ret           	527735807	1	1	1	1	1	1
recip_rank            	527735807	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	527735807	0.5000	0.2000	0.5000	0.5000	0.2000	0.5000
set_recall            	527735807	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	527735807	0.6667	0.3333	0.6667	0.6667	0.3333	0.6667
num_ret               	647729513	5	5	5	5	5	5
num_rel               	647729513	1	1	1	1	1	1
num_rel_ret           	647729513	1	1	1	1	1	1
recip_rank            	647729513	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	647729513	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	647729513	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	647729513	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	647729517	5	5	5	5	5	5
num_rel               	647729517	1	1	1	1	1	1
num_rel_ret           	647729517	1	1	1	1	1	1
recip_rank            	647729517	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_P                 	647729517	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	647729517	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	647729517	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	762661606	5	5	5	5	5	5
num_rel               	762661606	1	1	1	1	1	1
num_rel_ret           	762661606	1	1	1	1	1	1
recip_rank            	762661606	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	762661606	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	762661606	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	762661606	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	762661608	5	5	5	5	5	5
num_rel               	762661608	1	1	1	1	1	1
num_rel_ret           	762661608	1	1	1	1	1	1
recip_rank            	762661608	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	762661608	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	762661608	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	762661608	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	762661634	5	5	5	5	5	5
num_rel               	762661634	1	1	1	1	1	1
num_rel_ret           	762661634	1	0	1	1	1	1
recip_rank            	762661634	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	762661634	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	762661634	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	762661634	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	762661635	5	5	5	5	5	5
num_rel               	762661635	1	1	1	1	1	1
num_rel_ret           	762661635	1	0	1	1	0	1
recip_rank            	762661635	0.5000	0.0000	0.5000	0.5000	0.0000	0.5000
set_P                 	762661635	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	762661635	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	762661635	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	821737647	5	5	5	5	5	5
num_rel               	821737647	1	1	1	1	1	1
num_rel_ret           	821737647	1	0	1	1	1	1
recip_rank            	821737647	1.0000	0.0000	1.0000	1.0000	0.2500	1.0000
set_P                 	821737647	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	821737647	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	821737647	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	821737806	5	5	5	5	5	5
num_rel               	821737806	1	1	1	1	1	1
num_rel_ret           	821737806	1	0	1	1	0	1
recip_rank            	821737806	1.0000	0.0000	0.5000	1.0000	0.0000	1.0000
set_P                 	821737806	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	821737806	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	821737806	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	845485410	5	5	5	5	5	5
num_rel               	845485410	1	1	1	1	1	1
num_rel_ret           	845485410	1	1	1	1	1	1
recip_rank            	845485410	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	845485410	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	845485410	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	845485410	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	845485412	4	5	4	4	5	4
num_rel               	845485412	1	1	1	1	1	1
num_rel_ret           	845485412	1	1	1	1	1	1
recip_rank            	845485412	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	845485412	0.2500	0.2000	0.2500	0.2500	0.2000	0.2500
set_recall            	845485412	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	845485412	0.4000	0.3333	0.4000	0.4000	0.3333	0.4000
num_ret               	845485414	5	5	5	5	5	5
num_rel               	845485414	1	1	1	1	1	1
num_rel_ret           	845485414	1	0	1	1	1	1
recip_rank            	845485414	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	845485414	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	845485414	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	845485414	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	845485416	5	5	5	5	5	5
num_rel               	845485416	1	1	1	1	1	1
num_rel_ret           	845485416	1	0	1	1	1	1
recip_rank            	845485416	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	845485416	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	845485416	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	845485416	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	845485418	5	5	5	5	5	5
num_rel               	845485418	1	1	1	1	1	1
num_rel_ret           	845485418	1	1	1	1	1	1
recip_rank            	845485418	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	845485418	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	845485418	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	845485418	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
